,gene_P,gene_R,corr,cor
3002,LRRC14B,SPATC1,0.633058391,>0.6
859,CACNA1I,MAD1L1,0.6330572,>0.6
4861,SLC25A46,BSN,0.632924077,>0.6
4868,SLC25A46,DPH1,0.632898399,>0.6
1281,CLN6,TEX11,0.632760546,>0.6
1242,CIITA,UQCR11,0.632660654,>0.6
5426,TMEM66,FARSA,0.63247517,>0.6
6018,ZNF500,ARPC3,0.632143742,>0.6
2121,FOXA3,DALRD3,0.632136604,>0.6
3218,MLH3,CXXC1,0.631906731,>0.6
4928,SLC27A6,TBC1D13,0.631765048,>0.6
49,ABHD13,MRPL41,0.631758631,>0.6
683,BTBD10,TMEM102,0.631751942,>0.6
5556,TRIM69,VPS29,0.631689854,>0.6
2925,LINGO4,DDX3X,0.631613921,>0.6
1072,CDT1,MRPL55,0.631395166,>0.6
846,C9orf84,RBM20,0.631177875,>0.6
781,C2orf72,BNIP3,0.631113345,>0.6
2567,IGSF9,DGUOK,0.631090406,>0.6
896,CATSPER2,MRPL34,0.631049497,>0.6
4260,RADIL,UBA52,0.631028431,>0.6
4631,SCG5,NOC4L,0.63096361,>0.6
1132,CHRDL1,CDR1,0.630936747,>0.6
1451,CUBN,ORMDL1,0.6308682,>0.6
1895,ESRRB,OGDHL,0.630862346,>0.6
3804,PCDHB4,TDO2,0.63078476,>0.6
5415,TMEM66,ARF5,0.630683463,>0.6
543,BCL2L11,EZH1,0.630614365,>0.6
2253,GLT8D2,RAPGEF2,0.630498781,>0.6
3805,PCDHB4,TP53INP2,0.630401008,>0.6
4719,SERPINA9,MITF,0.630381458,>0.6
3795,PCDHB15,LCK,0.630370968,>0.6
6,ABCA10,BBS2,0.630355328,>0.6
1577,DLGAP3,HSD17B10,0.630257324,>0.6
5437,TMEM66,MRPL4,0.630132774,>0.6
2782,KL,BCOR,0.630069146,>0.6
4555,RRAD,DCHS2,0.630039766,>0.6
1868,ERN1,SSR4,0.629988502,>0.6
938,CCDC152,TOMM40,0.629971768,>0.6
751,C1D,TECR,0.629835265,>0.6
3224,MLH3,ZNF593,0.629779301,>0.6
3850,PDE8B,RAP1A,0.629758034,>0.6
3361,MTMR8,SH2D3C,0.629713022,>0.6
400,ATP10A,PGLS,0.629542566,>0.6
1762,ENTHD1,ANAPC4,0.629463249,>0.6
1202,CHRDL1,WTAP,0.629458614,>0.6
